x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,1as,1as,1as,1as,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,1aw,x,x
x,x,1as,1as,1as,1as,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,1aw,x,x
x,x,1as,1as,1as,1as,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,1aw,x,x
x,x,1as,1as,1as,1as,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,1aw,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,3sad,3sad,3sad,3sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,3sad,3sad,3sad,3sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,3sad,3sad,3sad,3sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,2sad,2sad,2sad,2sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1sad,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,1wad,x,x
x,x,1ds,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dw,1dw,1dw,1dw,x,x
x,x,1ds,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dw,1dw,1dw,1dw,x,x
x,x,1ds,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dw,1dw,1dw,1dw,x,x
x,x,1ds,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dw,1dw,1dw,1dw,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
