x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,1sa,1sa,1sa,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1wa,1wa,1wa,x
x,1sa,1sa,1sa,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1wa,1wa,1wa,x
x,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1ds,1ds,1ds,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1dws,1ds,1ds,1ds,x,x,1wad,1wad,1wad,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1sda,1sda,1sda,x,x,1wad,1wad,1wad,x
x,x,x,x,1asw,1asw,1asw,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1sa,1sa,1sa,x,x,1wad,1wad,1wad,x
x,1as,1as,1as,1asw,1asw,1asw,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1sa,1sa,1sa,x,x,1wad,1wad,1wad,x
x,1as,1as,1as,1asw,1asw,1asw,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,x
x,1sad,1sad,1sad,x,x,x,x,x,x,x,x,1wd,1wd,1dws,1dws,1ds,1ds,1ds,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dsw,1dsw,1dsw,1dsw,1ds,1ds,1ds,x,1wd,1wd,1dws,1dws,1ds,1ds,1ds,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dsw,1dsw,1dsw,1dsw,1ds,1ds,1ds,x,1wd,1wd,1dws,1dws,1ds,1ds,1ds,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dsw,1dsw,1dsw,1dsw,1ds,1ds,1ds,x,1wad,1wad,x,x,1ds,1ds,1ds,1dws,1dws,1dw,1dw,1dw,x
x,x,x,x,x,x,x,x,1sda,1sda,1sda,x,1wad,1wad,x,x,1ds,1ds,1ds,1dws,1dws,1dw,1dw,1dw,x
x,x,x,x,x,x,x,x,1sda,1sda,1sda,x,1wad,1wad,x,x,1ds,1ds,1ds,1dws,1dws,1dw,1dw,1dw,x
x,1as,1as,1as,1asw,1asw,1asw,1asw,1sa,1sa,1sa,x,1wad,1wad,x,x,x,x,x,x,x,x,x,x,x
x,1as,1as,1as,1asw,1asw,1asw,1asw,1sa,1sa,1sa,x,1wd,1wd,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,x
x,1as,1as,1as,1asw,1asw,1asw,1asw,1sa,1sa,1sa,x,1wd,1wd,1aws,1aws,1aws,1aws,1aws,1aws,1aws,1aw,1aw,1aw,x
x,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,x
x,1sad,1sad,1sad,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1wad,1wad,1wad,x
x,1ds,1ds,1ds,1dsw,3dsw,3dsw,3dsw,3dsw,3dsw,2dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dw,1dw,1dw,x
x,1ds,1ds,1ds,1dsw,3dsw,3dsw,3dsw,3dsw,3dsw,2dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dw,1dw,1dw,x
x,1ds,1ds,1ds,1dsw,3dsw,3dsw,3dsw,3dsw,3dsw,2dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dsw,1dw,1dw,1dw,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
